"8bitoperator JVE";12;False;False;1;0;1;1
32;94;92;3;16;3;0
33;77;92;4;16;6;1
34;25;92;5;16;6;0
35;75;2;7;16;8;0
36;10;74;6;16;7;0
37;66;2;7;16;8;0
38;48;2;7;16;8;0
39;111;92;2;16;3;0
40;59;92;4;16;5;0
41;53;92;4;16;5;0
42;2;2;8;16;9;0
43;2;74;6;16;7;0
44;107;92;2;16;3;0
45;114;56;6;16;7;0
46;103;92;2;16;3;0
47;98;56;6;16;7;0
48;90;56;6;16;7;0
49;82;56;6;16;7;0
50;10;92;6;16;7;0
51;18;74;6;16;7;0
52;34;56;6;16;7;0
53;42;56;6;16;7;0
54;50;56;6;16;7;0
55;58;56;6;16;7;0
56;66;56;6;16;7;0
57;26;56;6;16;7;0
58;119;92;2;16;3;0
59;99;92;2;16;3;0
60;39;92;5;16;6;0
61;106;56;6;16;7;0
62;46;92;5;16;6;0
63;26;74;6;16;7;0
64;34;74;6;16;7;0
65;42;74;6;16;7;0
66;50;74;6;16;7;0
67;58;74;6;16;7;0
68;66;74;6;16;7;0
69;74;74;6;16;7;0
70;82;74;6;16;7;0
71;90;74;6;16;7;0
72;98;74;6;16;7;0
73;106;74;6;16;7;0
74;114;74;6;16;7;0
75;2;92;6;16;7;0
76;74;56;6;16;7;0
77;57;2;7;16;8;0
78;106;38;6;16;7;0
79;18;56;6;16;7;0
80;82;20;6;16;7;0
81;74;20;6;16;7;0
82;66;20;6;16;7;0
83;58;20;6;16;7;0
84;50;20;6;16;7;0
85;42;20;6;16;7;0
86;34;20;6;16;7;0
87;21;2;7;16;8;0
88;18;20;6;16;7;0
89;10;20;6;16;7;0
90;2;20;6;16;7;0
91;83;92;4;16;5;0
92;116;2;6;16;7;0
93;71;92;4;16;5;0
94;108;2;6;16;7;0
95;65;92;4;16;5;0
96;89;92;3;16;4;0
97;100;2;6;16;7;0
98;92;2;6;16;7;0
99;84;2;6;16;7;0
100;90;20;6;16;7;0
101;106;20;6;16;7;0
102;2;56;6;16;7;0
103;114;20;6;16;7;0
104;114;38;6;16;7;0
105;10;56;6;16;7;0
106;98;38;6;16;7;0
107;90;38;6;16;7;0
108;82;38;6;16;7;0
109;30;2;7;16;8;0
110;66;38;6;16;7;0
111;58;38;6;16;7;0
112;50;38;6;16;7;0
113;42;38;6;16;7;0
114;34;38;6;16;7;0
115;26;38;6;16;7;0
116;18;38;6;16;7;0
117;10;38;6;16;7;0
118;2;38;6;16;7;0
119;39;2;7;16;8;0
120;98;20;6;16;7;0
121;74;38;6;16;7;0
122;26;20;6;16;7;0
123;18;92;5;16;6;0
124;115;92;2;16;3;0
125;32;92;5;16;6;0
126;12;2;7;16;8;0
